proposition_uid,text,speech_acts,has_roles,debate_role,question,question_type,exclusivity,polarity,key_point,notes
prop:062f60ddaa74bb23f877,Paul intends to bypass a Senate vote and hand-deliver the resolution to the Department of Justice.,prescription,premise,thesis,How will Paul deliver the resolution to the Department of Justice?,policy,unknown,FAVOR,Bypassing Senate vote,
prop:06337f60d2f40120461a,"If Republicans lose Texas, the Senate will fall into Democratic hands.",prediction,prediction,thesis,What happens if Republicans lose Texas?,policy,exclusive,FAVOR,Senate falls to Democrats,
prop:064238e534bef15a3443,"Trump said the helipad's slope was too steep, even though it was intended to drain rainwater.",judgment,premise,premise,What did Trump say about the helipad's slope?,factual,unknown,NONE,,
prop:0649103a6e5fbe33640c,Ending CBP's use of the facility would harm many people on both sides of the border.,prediction,prediction,thesis,What would happen if CBP ends use of the facility?,policy,exclusive,AGAINST,Harm to people on both sides,
prop:06559860f6c14c3f728f,The relevant reports or claims are dismissed as fake news.,judgment,,background,none,,,,,
prop:06564e47b581667ef776,Donna Powell advocated spending the money on healthcare and food for families.,prescription,value,thesis,What did Donna Powell advocate for spending money on?,policy,unknown,FAVOR,Healthcare and food for families,
prop:067d423a7d1a7e0086bc,Fourteen people face charges related to a cocaine-trafficking operation involving students and two off-campus fraternities.,assertion,conclusion,thesis,What charges do fourteen people face?,factual,unknown,AFFIRMS,Cocaine-trafficking operation,
prop:068a63f161934731e2c0,The primary wall is expected to be completed by next year.,prediction,,background,none,,,,,
prop:069f719329383c9ae8a1,James Carville will not be in the same political party as Hasan Piker.,prediction,conclusion,background,none,,,,,
prop:06b21cf817badb3c3725,"The first phase is reopening the Strait, and the second phase will involve talks about denuclearizing Iran.",assertion,conclusion,thesis,What are the phases of the plan involving the Strait and Iran?,policy,unknown,FAVOR,Reopening and denuclearization talks,
prop:06ba261da25bab7da1b7,He supported Democrat Mary Peltola in her 2022 and 2024 House races.,assertion,objection,background,none,,,,,
prop:06ba4a029012227a16c7,The two planes were likely escorted or supported by allied or U.S. Air Force assets.,judgment,,background,none,,,,,
prop:06c5347d78bb43cc03cb,Those responsible for attacks on innocent Palestinians are criminals.,judgment,conclusion,thesis,Who is responsible for attacks on innocent Palestinians?,factual,exclusive,DENIES,Criminals are responsible for attacks,
prop:06ca0decae349121ae2e,The court cannot write a different ending.,assertion,conclusion,background,none,,,,,
prop:06ca1012f58c38e156d5,"Prosecutors asked the judge to require Meta to make fundamental changes to reduce addictive features, improve age verification, and prevent child sexual exploitation.",prescription,,thesis,What changes should Meta make to reduce addiction?,policy,compatible,FAVOR,Require changes to reduce addictive features,
prop:06e140904232f198f06c,"Jurors would likely learn of Kohberger's prior admission, creating substantial obstacles at trial.",prediction,conclusion,thesis,How will Kohberger's prior admission affect the trial?,factual,exclusive,UNCERTAIN,Prior admission creates obstacles at trial,
prop:06f2ab9b7e3ef17546b7,Administration officials regularly avoid acknowledging in congressional hearings that Trump fairly lost the 2020 election.,assertion,conclusion,background,none,,,,,
prop:06f669c72ae6c2bcce4f,"Bedbugs are generally not believed to spread disease, although one experiment raises questions about that belief.",assertion,conclusion,background,none,,,,,
prop:070e4384aa5739802173,Trump suggested that the number or timing of vaccines could contribute to rising autism rates.,allegation,objection,thesis,Could vaccines contribute to rising autism rates?,causal,exclusive,FAVOR,Vaccines could contribute to autism rates,
prop:071130e69b9cf8545dcd,Charlamagne says it looks suspicious that Fauci will not answer questions.,judgment,conclusion,thesis,Why is Fauci's silence suspicious?,factual,exclusive,FAVOR,Fauci's silence raises suspicion,
prop:072abefb9a86efb31764,The AfD contradicts central fundamental values.,judgment,premise,premise,What does the AfD contradict?,definitional,compatible,NONE,,
prop:07399fcc775fed2e7841,"Despite the lengthy deployment, the crew remains resilient and the ship is fully capable of carrying out its missions.",assertion,conclusion,background,none,,,,,
prop:074d9df4e781c469c273,"On August 1, a woman told police that she fell asleep at Sainteran's apartment and woke up while he was raping her.",allegation,premise,premise,What happened to the woman at Sainteran's apartment?,factual,exclusive,AFFIRMS,,
prop:0752a73049fbb417aed3,Trump will hit them very hard.,prediction,premise,premise,What will Trump do to them?,policy,exclusive,FAVOR,,
prop:07616e392f8220ecf704,Approving the anti-weaponization slush fund and exempting the President from IRS audits showed poor judgment.,judgment,,thesis,What does the anti-weaponization slush fund show?,factual,exclusive,AGAINST,Shows poor judgment,
prop:079f0ec23123dbbb374c,Interest rates must be raised to address inflation that is more serious and persistent than the Fed has acknowledged.,prescription,conclusion,thesis,Should the Federal Reserve raise interest rates to fight inflation?,policy,exclusive,FAVOR,Raise rates against entrenched inflation,cleanup: tightened question
prop:07a14d4d0a4fbaae099f,He was also very small-town in character.,judgment,,background,none,,,,,
prop:07c2b8519fbd74bdff25,Managers should view anxiety as evidence of investment rather than inadequacy.,prescription,conclusion,thesis,Should managers view anxiety as evidence of investment?,policy,exclusive,FAVOR,"Anxiety indicates investment, not inadequacy.",
prop:07cb6683af2ea23ede34,France strongly condemns the Russian strikes that killed civilians in Ukraine and the violation of Polish airspace.,judgment,conclusion,thesis,How does France respond to Russian strikes in Ukraine?,policy,exclusive,FAVOR,France condemns Russian strikes on civilians.,
prop:07d2abce38c5a7f571cc,"Research has found that Covid-19 vaccination is associated with lower risks of infection, hospitalization, complications, and virus-related emergency or urgent-care visits in children.",assertion,conclusion,thesis,Is Covid-19 vaccination effective in children?,factual,exclusive,AFFIRMS,Vaccination lowers risks in children.,
prop:07d3402e1823932d85d3,European soccer is more egalitarian than American sports leagues.,judgment,premise,premise,none,,,NONE,,
prop:07db24e2b485512d2232,Pressure is growing on Rep. Max Miller to end his reelection campaign because of allegations from his ex-wife.,assertion,conclusion,thesis,Is Rep. Max Miller facing pressure to end his campaign?,factual,exclusive,AFFIRMS,Pressure on Miller due to allegations.,
prop:07e6dd37a5650c16dac3,"Ament wants government to be pro-business, or at least not unreasonable.",judgment,,background,none,,,,,Ambiguous on specific policy stance.
prop:07ed0dcb1d890c1e6d90,Andy Burnham has not yet made a final decision.,assertion,conclusion,thesis,Has Andy Burnham made a decision?,factual,exclusive,UNCERTAIN,Burnham's decision is pending.,
prop:07f62cdab87d93f49f83,Most Medicare beneficiaries would see a monthly increase of less than $10.,prediction,rebuttal,thesis,How will Medicare beneficiaries be affected financially?,policy,compatible,NONE,Most beneficiaries see small increase.,
prop:07fcc3bc0bc0ccd58a75,"El-Sayed's ideology is radical, sympathetic to terrorists, and insulting to millions of Christians.",judgment,,background,none,,,,,"Judgment on ideology, not a clear policy."
prop:07fdb021c113f4254b53,Netanyahu wants to move beyond the war toward a security agreement and possible normalization with Saudi Arabia while coordinating with Trump on matters useful in elections.,assertion,conclusion,thesis,What does Netanyahu want regarding Saudi Arabia?,policy,exclusive,FAVOR,Netanyahu seeks security agreement with Saudi Arabia.,
prop:0827b30f8ef597977cdd,A deal would provide freedom of movement.,prediction,conclusion,thesis,What would a deal provide?,policy,exclusive,FAVOR,A deal would ensure freedom of movement.,
prop:08392bec3028a76b7ec2,"The Senate Judiciary Committee is expected to vote on Blanche’s nomination Tuesday, and he could be confirmed before the Senate begins its five-week recess.",prediction,prediction,thesis,When will the Senate Judiciary Committee vote on Blanche’s nomination?,factual,exclusive,AFFIRMS,Vote expected before Senate recess.,
prop:083b9a575c89e8eaff15,Clay Travis offers $10 million for a modern-day competition between men and women.,prescription,,background,none,,,,,Proposal lacks context for debate.
prop:085933189b8a1f93e743,The government failed to comply with a law requiring permission from the Army Corps of Engineers before building on or near the levees.,allegation,objection|premise,premise,Did the government comply with the law regarding levees?,factual,exclusive,DENIES,,
prop:086756a8e7febc719db6,Upward pressure on prices may emerge in the fall and into 2027 as fertilizer and energy costs feed into the economy.,prediction,premise,premise,Will upward pressure on prices emerge?,causal,compatible,NONE,,
prop:0879e47c982fda880097,Taiwan will slow mobile internet speeds next week to test how citizens would communicate if emergency bandwidth became scarce.,prediction,,thesis,How will Taiwan test emergency communication?,factual,unknown,NONE,Testing emergency communication methods,
prop:087e70b00297e3f3c9bc,Governors should have a role in creating workforce permits and helping vet migrants who have remained in the United States for many years or are needed by local companies.,prescription,conclusion,thesis,What role should governors have in workforce permits?,policy,unknown,FAVOR,Governors should help vet migrants,
prop:089a059f0eab9f245400,"Foreign workers can fill labor shortages in industries where American participation is insufficient, while prioritizing Americans.",prescription,premise,thesis,Can foreign workers fill U.S. labor shortages?,policy,compatible,FAVOR,Foreign workers can fill labor shortages,
prop:08a69c2321071f9dd7c2,The change in term mix combined with the promotional price reduced upfront bookings and near-term revenue.,assertion,conclusion|premise,premise,none,,,NONE,,
prop:08bbdf04f8c6b67f3c56,"The founder of Evergrande, Hui Ka Yan, was sentenced to life in prison.",assertion,conclusion,background,none,,,,,Pure reporting of a legal outcome
prop:08bd67f32aa9194f9b59,Jeffrey Hayzlett says the participants could create one of the largest collections of executive voices ever assembled to celebrate America's entrepreneurial spirit.,prediction,prediction,thesis,What could the participants create?,factual,unknown,NONE,Largest collection of executive voices,
prop:08c056562181eab8a57a,Democratic Socialists of America members should not be allowed in.,prescription,conclusion,thesis,Should Democratic Socialists of America members be allowed?,policy,exclusive,AGAINST,Prohibiting DSA members,
prop:08ce94b5f8610e98e1b1,"The lawmaker should directly address the people of Kentucky, provide proof of his capacity to serve, or resign.",prescription,conclusion,thesis,What should the lawmaker do?,policy,unknown,FAVOR,Lawmaker should address the people,
prop:08e5e9e84cb92febe44e,President Donald Trump called Ossoff “Pee-wee Herman.”,judgment,,background,none,,,,,Judgment without clear context
prop:08e7515eafbda0951fd6,"If his daughter had made the same allegation, Max Miller says he personally would not have waited two years to hold him accountable.",judgment,,background,none,,,,,Judgment without clear context
prop:08effc3fde1495fa73b7,The locker room is not political.,assertion,conclusion,background,none,,,,,Assertion without a clear argument
prop:0906440a0d07f59f19a2,The Department recommends that U.S. citizens traveling to Haiti leave DNA samples and dental records with trusted people to facilitate identification of their remains.,prescription,conclusion,thesis,What should U.S. citizens do when traveling to Haiti?,policy,unknown,FAVOR,Leave DNA samples for identification,
prop:0907e9ec9dd62aa7696e,The Trump administration’s case against Davey Hearn should never have been brought.,judgment,value,thesis,Should the case against Davey Hearn have been brought?,policy,exclusive,AGAINST,Case should not have been brought,
prop:09266e5ebf4f2940ff18,This could make things more challenging for some people.,prediction,prediction,thesis,What could this situation lead to?,factual,unknown,NONE,Could make things more challenging,
prop:093d6fffb320c5c5a5ea,Chipotle removed jalapeños from some of its restaurants because the peppers could potentially be linked to a salmonella outbreak under investigation.,assertion,conclusion,thesis,Why did Chipotle remove jalapeños?,factual,unknown,NONE,Linked to salmonella outbreak investigation,
prop:0947ffb1fa4af7e7a0cd,Neither side really wants the tariffs to take effect.,judgment,premise,premise,What do both sides think about the tariffs?,factual,unknown,NONE,,
prop:09494deda21346460211,John Fetterman regrets having scoffed at the theory that the coronavirus pandemic resulted from a laboratory leak.,assertion,conclusion,thesis,Does John Fetterman regret his previous stance on the lab leak theory?,factual,exclusive,AFFIRMS,Fetterman regrets his previous stance,
prop:094b5ff48fe281eeaa5c,"The filing alleges that Miller accosted his ex-wife’s attorneys outside an Ohio courtroom, marking the second such incident after a court proceeding.",allegation,premise,premise,What incident is alleged involving Miller?,factual,unknown,NONE,,
prop:0959210d73ff6a1d50c0,Another temporary extension of the Jones Act waivers is quite likely to happen.,prediction,prediction,thesis,Will there be another extension of the Jones Act waivers?,policy,unknown,FAVOR,Extension of waivers is likely,
prop:09636b8a8fba973569ff,Paramount agreed to halt the merger until a court decision or June 2027.,allegation,,background,none,,,,,
prop:0966f788118eabaa0486,The war might conclude with the regime collapsing under economic strain.,question,prediction|premise,thesis,Could the war conclude with the regime collapsing?,causal,exclusive,FAVOR,Regime collapse is a possible outcome,
prop:0980372f0df69a409b7e,"They cannot responsibly expose guests, attendees, volunteers, venue staff, or law enforcement officers to an unacceptable safety risk.",assertion,conclusion,thesis,Should safety risks be avoided for guests and staff?,policy,exclusive,FAVOR,Safety risks must be avoided,
prop:0988e1584a9af916e496,"Members of Congress should not isolate staffers, make personal comments or messages, intrude on their personal lives, or give them personal gifts and benefits.",prescription,value,thesis,Should members of Congress avoid certain behaviors with staffers?,policy,exclusive,FAVOR,Congress should not intrude on staffers' lives,
prop:098926d4a42dffabd29a,Wearing one of the wristbands would have been a painful reminder of her loss.,judgment,objection,premise,What would wearing the wristbands remind her of?,factual,unknown,NONE,,
prop:098ab299be5fa29d7621,Iranian officials urged the public to reduce energy use because power outages were possible.,prescription,,background,none,,,,,
prop:098ae289692a0c5c6a2a,He will cooperate fully.,prediction,prediction,thesis,Will he cooperate fully?,factual,unknown,NONE,,
prop:098fef567357c8117afd,"Bill Lee urged people to vote for Charlie Hatcher on Thursday, August 6.",prescription,conclusion,thesis,Should people vote for Charlie Hatcher?,policy,exclusive,FAVOR,Vote for Hatcher is encouraged,
prop:0990c61dd9e7f9d94b71,The speaker is here today because she is answering President Trump's call to serve.,assertion,conclusion,thesis,Why is the speaker here today?,factual,unknown,NONE,,
prop:09a01fe331aa9f50e9f5,Fauci became wealthy while millions of people died.,allegation,,background,none,,,,,
prop:09a3c5e7073303f2ecd2,The mutual defense pact could draw Pakistan and Turkey into a war they have previously avoided.,prediction,,background,none,,,,,
prop:09b221bcac3349c5eb5a,Senators John Cornyn and Bill Cassidy should have known better than to be willing to vote to confirm him.,judgment,conclusion,thesis,Should Senators Cornyn and Cassidy have voted to confirm him?,policy,exclusive,AGAINST,They should have known better,
prop:09c6a25749bbcac8e902,The Strait of Hormuz will not reopen,prediction,,thesis,Will the Strait of Hormuz reopen?,factual,exclusive,DENIES,It will not reopen,
prop:09da501c36de908ed5e8,The audience should also feel fired up.,prescription,,thesis,What should the audience feel?,factual,unknown,,Audience should feel fired up,
prop:09db1c67cd9132545050,"The consequences of tolls will extend beyond shipping costs, causing higher energy prices, higher inflation, greater economic uncertainty, and harm to livelihoods worldwide.",prediction,premise,premise,What are the consequences of tolls?,causal,compatible,NONE,,
prop:09dddd9daccc89c9ad7a,Donald Trump pledged to respond forcefully to Iran’s attempted attack on US military positions.,prescription,,thesis,How should Trump respond to Iran’s attack?,policy,unknown,,Respond forcefully,
prop:09e59539c6c4ab341d83,"The political left has energy in Michigan and across the country, which should help its turnout.",prediction,premise,premise,How does the political left's energy affect turnout?,causal,compatible,NONE,,
prop:09efdcdc179bddc35b09,Emily Moreno alleged that Miller held a gun to her.,allegation,objection,thesis,Did Miller hold a gun to Emily Moreno?,factual,exclusive,AFFIRMS,Allegation of gun holding,
prop:09f04c3b0923ca5bc76e,Iran cannot continue striking American assets in Gulf states while expecting those states to tolerate the attacks.,judgment,premise,premise,Can Iran continue striking American assets?,policy,exclusive,DENIES,,
prop:09f8058913a6f51875ed,Trump Derangement Syndrome accounts for part of the answer.,judgment,,thesis,What accounts for part of the answer?,factual,unknown,,Trump Derangement Syndrome,
prop:09fdc00da5bb29c7679b,Lindsey Graham spoke plainly and did not mince words.,assertion,conclusion,thesis,What did Lindsey Graham do?,factual,unknown,,Spoke plainly,
prop:0a0be264fb574a05cffe,A document reportedly urges Democrats with relevant relationships to persuade Alani Bankhead to withdraw from the race and identifies her family and friends as targets of a harassment campaign.,allegation,premise,premise,What does the document urge Democrats to do?,policy,compatible,NONE,,
prop:0a0fc201588b31be11bc,Vivmark's strategy is to turn its scale and capabilities into a performance advantage that strengthens each year.,assertion,conclusion,thesis,What is Vivmark's strategy?,factual,unknown,,Turn scale into advantage,
prop:0a1df56ce1bbc1e08a99,The military complex under construction would include a drone port.,prediction,,thesis,What will the military complex include?,factual,unknown,,Include a drone port,
prop:0a2366f4101bd16b7a5d,Bezalel Smotrich and Orit Strouk formally requested that Netanyahu convene the security cabinet and prevent the International Stabilization Force from entering Gaza.,prescription,,thesis,What did Smotrich and Strouk request?,policy,unknown,,Prevent force entry into Gaza,
prop:0a258fa3e69d3384605e,The latest move is expected to have a greater impact because it is a historic joint intervention.,prediction,prediction,thesis,What impact is expected from the latest move?,causal,compatible,NONE,Greater impact expected,
prop:0a26e3fda532d694e4b7,The intervention is good for the world economy.,judgment,,thesis,Is the intervention beneficial for the world economy?,policy,exclusive,FAVOR,Intervention benefits the world economy,
prop:0a2a10db82e35cffbca7,Coconino County Attorney Ammon Barker said that the plea does not diminish the profound harm caused or the sorrow of Colin’s death.,assertion,conclusion,premise,none,,,NONE,,
prop:0a323c929566112e7863,"By mid-July, Chicago was reporting the world's worst air quality.",assertion,conclusion,background,none,,,,,
prop:0a3aff768fb712ce3f67,They are being described as unconstitutional and contrary to the Constitution's plain language.,judgment,,thesis,Are the actions unconstitutional?,policy,exclusive,AGAINST,Actions described as unconstitutional,
prop:0a3c0ed6909cbddc0149,Volodymyr Zelensky called for European missile interceptors to be deployed to protect lives and stop Russia.,prescription,conclusion,thesis,Should European missile interceptors be deployed?,policy,exclusive,FAVOR,Call for missile interceptors deployment,
prop:0a3eda50e2c0ca57fae7,Alexandria Ocasio-Cortez is making this choice to feel more in control of her life.,assertion,conclusion,background,none,,,,,
prop:0a63c6a35f261bce118f,Aliyev argued that previous U.S. administrations managed and effectively froze the Azerbaijan-Armenia conflict for decades rather than resolving it.,judgment,objection,thesis,Did previous U.S. administrations effectively manage the conflict?,factual,exclusive,AFFIRMS,Previous administrations froze the conflict,
prop:0a68597fae96c7be8a0b,Yemen’s health ministry condemned the attack as a flagrant violation of international humanitarian law.,judgment,value,thesis,Is the attack a violation of international law?,policy,exclusive,FAVOR,Attack condemned as violation of law,
prop:0a73941b8b63069d64c1,ICE personnel work every day to remove dangerous criminals from communities and make America safe again.,assertion,conclusion,premise,none,,,NONE,,
prop:0a7927478ffe0708d4dd,Iran remains only one shipment from North Korea or one rogue scientist away from potentially obtaining a nuclear weapon again.,assertion,prediction,thesis,Is Iran close to obtaining a nuclear weapon?,policy,exclusive,QUALIFY,Iran near obtaining nuclear weapon,
prop:0a89a0bc366a34b67f3a,Trump expressed pride.,judgment,,background,none,,,,,
prop:0a8fb147ab42245f3804,Establishment Democrats claim that she is unlikely to defeat the GOP’s presumptive nominee.,allegation,objection,thesis,Is she likely to defeat the GOP nominee?,policy,exclusive,AGAINST,Unlikely to defeat GOP nominee,
prop:0aa0fefa7b7e86870c92,Hamas will not begin weapons-related steps until Israel implements its commitments.,prescription,conclusion,thesis,Will Hamas begin weapons-related steps?,policy,exclusive,AGAINST,Hamas waiting on Israel's commitments,
prop:0ac590bf9f8e9f14ae5c,The outcome remains uncertain.,prediction,,background,none,,,,,
prop:0ac5ac46829b7fa3c33d,"Danton calls for his head to be shown to the people, claiming that it is worth seeing.",prescription,,background,none,,,,,
prop:0ac79778ab0168559e79,Having an attorney is extremely important for successfully navigating the system.,judgment,value,thesis,How important is having an attorney for navigating the system?,factual,unknown,AFFIRMS,Having an attorney is crucial,
prop:0ad05fb1ad0b4ade7609,Every child in the United States should have the opportunity to play sports at the highest level.,prescription,value,thesis,Should every child in the United States play sports at the highest level?,policy,exclusive,FAVOR,Opportunity for all children,
prop:0ad61ea5a2dc2a823628,"The benefits of COVID-19 vaccination outweigh its risks, according to the available literature involving hundreds of thousands of women.",judgment,conclusion,thesis,Do the benefits of COVID-19 vaccination outweigh the risks for pregnant women?,factual,exclusive,AFFIRMS,Benefits outweigh risks,cleanup: tightened question
prop:0ae039335b8b355d051f,Rand Paul said he plans to pursue civil contempt proceedings against Fauci after Fauci invoked the Fifth Amendment more than 100 times.,prediction,,background,none,,,,,
prop:0ae29deb39c9c4265901,"Donald Trump is a threat to democracy, and Michele Tafoya would rubber-stamp his dangerous agenda.",allegation,,thesis,Is Donald Trump a threat to democracy?,policy,exclusive,AGAINST,Trump threatens democracy,
prop:0ae53b7a7f19b1b1b6ce,Partners need to make the political decision to provide the necessary packages.,prescription,conclusion,thesis,What decision do partners need to make regarding packages?,policy,unknown,FAVOR,Political decision needed,
prop:0af65a16d85c8b98a211,T-Mobile's new plans make switching wireless providers more affordable and accessible.,assertion,conclusion|premise,premise,How do T-Mobile's new plans affect switching providers?,factual,compatible,NONE,,
prop:0b012ffe8f9610e99a4b,All data center projects are effectively paused.,assertion,conclusion,premise,What is the status of data center projects?,factual,exclusive,NONE,,
prop:0b17a612380f6d992c9e,"More than a year later, he still had no detectable signs of the truncated condition.",assertion,conclusion,premise,What were the health signs after a year?,factual,unknown,NONE,,
prop:0b2bd0f5281adcd27cd8,There is no record of students being offered extra credit to attend the lecture in question.,assertion,objection,premise,Was extra credit offered to attend the lecture?,factual,exclusive,DENIES,,
prop:0b2c93f5d0deb2973643,Beshear calls on McConnell either to explain his long absence and disclose details about his health or resign.,prescription,conclusion,thesis,What does Beshear call on McConnell to do?,policy,unknown,FAVOR,Explain health or resign,
prop:0b2ce2ab91a71fb89475,"Court documents allege that Williams fed the child extremely spicy foods despite Price telling him to stop and acknowledged that the child routinely consumed diapers, couch cushions, and other unsafe objects.",allegation,premise,premise,What allegations are made against Williams?,factual,unknown,NONE,,
prop:0b44f29568f370754ea5,"Watson was expected to face charges under Article 88 for contempt toward an officer or Article 92 for failure to obey, potentially related to not putting his uniform back on.",prediction,prediction,background,none,,,,,
prop:0b49c09406d1daec17fc,They will continue to do that.,prescription,prediction,thesis,Will they continue their actions?,factual,unknown,NONE,Continuation expected,
prop:0b59e28761a1b51b863b,The initiative will make it easier for veterans to obtain commercial driver's licenses after completing their military service.,assertion,conclusion,thesis,Will the initiative help veterans obtain driver's licenses?,policy,unknown,FAVOR,Easier for veterans,
prop:0b7f768597f4bb693997,The sitting president faces nearly $100 million in personal liability for conduct within the scope of his federal office.,assertion,conclusion,thesis,What are the personal liabilities of the sitting president?,factual,unknown,AFFIRMS,Liabilities due to federal conduct,
prop:0b9514781b524be527c2,The departure of coastal workers from Democratic strongholds could create an opportunity for Detroit.,prediction,prediction,thesis,Could the departure of coastal workers benefit Detroit?,policy,exclusive,FAVOR,Opportunity for Detroit from worker departure,
prop:0baff0c47116881780f9,Athens executed Socrates for asking too many questions.,assertion,objection,background,none,,,,,
prop:0bb4d02a1fef36c037a8,Pharmaceutical companies have little business incentive to create individual vaccines that would compete with their existing combination vaccines.,judgment,premise,premise,Why don't pharmaceutical companies create individual vaccines?,factual,unknown,NONE,,
prop:0bb4de3f262a3d7dae2b,Fauci was unable to do what was expected of him on this occasion.,assertion,conclusion,thesis,Did Fauci meet expectations on this occasion?,factual,exclusive,DENIES,Fauci failed to meet expectations,
prop:0bba9134eeb6f89c88b0,"The $40 trillion debt milestone will have consequences for Americans, businesses, and the government for years to come.",prediction,,thesis,What are the consequences of the $40 trillion debt milestone?,causal,compatible,NONE,,
prop:0bc6774623710901e4f1,Trump's involvement could leave a long-lasting legacy.,prediction,prediction,thesis,What legacy could Trump's involvement leave?,factual,unknown,NONE,,
prop:0bc9793948fa2189a35d,A federal judge criticized the Justice Department while reluctantly dismissing the seditious-conspiracy case against Oath Keepers leaders and members.,judgment,,background,none,,,,,
prop:0bcad37f7910995b4c29,"Providing cheap labor reduces employers' incentive to invest in technology that improves American productivity, wages, and competitiveness.",assertion,conclusion,thesis,How does cheap labor affect investment in technology?,causal,exclusive,DENIES,Cheap labor reduces tech investment,
prop:0bd5cd16112958f218f7,"The markets are fragile, as shown by some people making unexpected money.",judgment,conclusion,thesis,What does the fragility of the markets indicate?,factual,unknown,NONE,,
prop:0be402d6b90c1d6342ed,"Losing access to nearby training facilities could keep officers away from ports of entry for longer periods, leaving fewer personnel to staff inspection lanes.",prediction,premise,premise,What could losing access to training facilities lead to?,causal,unknown,NONE,,
prop:0bf74341087aba024507,Scaling back the drills may cause long-lasting damage.,prediction,qualifier,thesis,What could be the impact of scaling back drills?,causal,exclusive,DENIES,Scaling back may cause damage,
prop:0bf86006af5de04c6f11,The addressee continues attacking AIPAC's critics because the addressee is a shameless grifter who does not care about the Democratic Senate majority or punishing its opponents.,allegation,,background,none,,,,,
prop:0c01a4f7aad28bddda7f,Democrats may need El-Sayed to win in order to have a chance at securing a Senate majority.,assertion,conclusion,thesis,Do Democrats need El-Sayed to secure a Senate majority?,policy,exclusive,FAVOR,El-Sayed is crucial for Senate majority,
prop:0c1caa65dbc88c758019,Trump described the family as beautiful.,judgment,value,background,none,,,,,cleanup: well-wish / personal color
prop:0c247ff420b6b46d4973,An economy in which capital has become more productive should produce higher real yields.,prediction,premise,premise,What should an economy with productive capital produce?,policy,compatible,NONE,,
prop:0c3a71fd70a00b323859,Gentner Drummond considers those people more fascist.,judgment,,background,none,,,,,
prop:0c400a93594450b1d2b2,The Gaza police force will turn over its weapons to the technocratic Board of Peace-backed Gaza administration within the next two weeks.,prediction,premise,premise,Will the Gaza police force turn over its weapons?,factual,unknown,NONE,,
prop:0c4eb178df4640bdebcf,College athletics is approaching a point of no return.,judgment,premise,premise,Is college athletics reaching a critical point?,policy,unknown,NONE,,
prop:0c51533ca9490244da4c,Safeguarding classified information is a non-negotiable duty.,prescription,value,thesis,Is safeguarding classified information essential?,policy,exclusive,NONE,Essential duty to safeguard information,
prop:0c54b39c2a4582f25168,Haley Stevens is the only candidate running for the United States Senate in Michigan who is not a millionaire.,assertion,conclusion,background,none,,,,,
prop:0c7723d1bab7a145000f,"Schall, Brown & Schwartz LLP is investigating potential securities law violations affecting Rollins investors.",assertion,conclusion,background,none,,,,,
prop:0c9033f9b36c3233832d,The significance of Trump’s response may be easy to overinterpret because he often declines to rule out extreme hypotheticals.,judgment,,background,none,,,,,
prop:0c9e2a3789e9a5a52a7d,El-Sayed supports establishing Medicare for all.,prescription,,thesis,Should the United States establish Medicare for all?,policy,exclusive,FAVOR,Establish Medicare for all,cleanup: tightened question
prop:0cb599db192cc6322b04,The planned New York demonstration suggests that the issue will continue beyond Chicago.,prediction,conclusion,premise,What does the planned New York demonstration suggest?,factual,compatible,NONE,,
prop:0cf22e64dbfc105f012b,Dario Amodei does not believe open models make it easier to develop safeguards or that broad access to AI capabilities necessarily helps defenders more than attackers.,assertion,objection,premise,Does Dario Amodei believe open models help develop safeguards?,factual,exclusive,NONE,,
prop:0d0565b30d0a2e81927c,Trump has a major military operation prepared if diplomacy fails.,assertion,prediction|premise,premise,What is Trump prepared for if diplomacy fails?,policy,unknown,NONE,,
prop:0d074ff02b77e8afa072,Abdul was an underdog.,judgment,premise,background,none,,,,,
prop:0d0829a70b9281bbab43,The current way of life cannot continue.,judgment,conclusion,thesis,Can the current way of life continue?,policy,exclusive,NONE,Current way of life unsustainable,
prop:0d1cbe94b2601ee0d14a,European firms operating in India face a risk related to this intermediary supply-chain activity.,allegation,conclusion,background,none,,,,,
